 Semi-Major Axis ; Eccentricity ; Inclination ; Argument of the pergiee ; Right Ascension of the Ascending node
6878837.994175404;0.020119385613179386;1.6406094968746698;1.0;1.0
6879116.64575565;0.023755184171685612;1.640606358504687;1.0009244242660391;1.0009244242660391
6879156.6219107425;0.020191332780368783;1.6406079595054877;1.0018520177293568;1.0018520177293568
6879587.406105001;0.023646675006896153;1.6406039436173356;1.002773006232367;1.002773006232367
6880087.530669581;0.02039581823847068;1.6406034508655556;1.0037032376157358;1.0037032376157358
6880502.902472372;0.02344059474789384;1.6405992298533723;1.004620800580203;1.004620800580203
6881558.745922803;0.020701552180363233;1.6405962729136498;1.0055529190672374;1.0055529190672374
6881813.64930418;0.023157694403756757;1.6405924446958917;1.0064673220786176;1.0064673220786176
6883459.525230165;0.021064448240636365;1.6405869016901782;1.0074004306897744;1.0074004306897744
6883451.146902968;0.02282644998878562;1.6405839181629678;1.008312143842824;1.008312143842824
6885652.231935144;0.021436384621387007;1.6405759495745562;1.00924529229658;1.00924529229658
6885333.104017661;0.022480248083336034;1.6405740697230584;1.0101549178995373;1.0101549178995373
6887985.699149908;0.021773019955794528;1.6405641181690016;1.0110872035800895;1.0110872035800895
6887368.30381706;0.022154040134528465;1.6405633913850977;1.0119953931298729;1.0119953931298729
6890308.045208059;0.022039335657987123;1.6405521465347224;1.0129260576394759;1.0129260576394759
6889460.365103337;0.021880576623537484;1.6405524273175687;1.0138334299825071;1.0138334299825071
6892477.4984264085;0.02221279586183599;1.640540759633325;1.0147619392611442;1.0147619392611442
6891510.288027086;0.02168635175846745;1.640541750371461;1.0156690113584506;1.0156690113584506
6894370.573858981;0.022284632493917853;1.6405306213446698;1.0165951094092787;1.0165951094092787
6893418.31216291;0.021587624491986562;1.640531935932634;1.0175022490214087;1.0175022490214087
6895887.60993156;0.022259798237167443;1.640522295472218;1.0184259785880008;1.0184259785880008
6895086.003057007;0.02158726052247367;1.6405235336557717;1.0193333848032005;1.0193333848032005
6896956.033548329;0.022155861156574794;1.6405162169059164;1.0202550724545818;1.0202550724545818
6896419.47064848;0.021673368136358798;1.6405170378695217;1.0211627857995564;1.0211627857995564
6897531.774264354;0.022000819531464134;1.6405126738132252;1.02208299326113;1.02208299326113
6897334.218847368;0.02182046578957795;1.6405128577982502;1.0229909327578153;1.0229909327578153
6897599.128990351;0.02182969140029988;1.6405118005724653;1.0239103804410545;1.0239103804410545
6897761.491506246;0.021993213672569373;1.6405112891883773;1.0248184010218275;1.0248184010218275
6897169.264933122;0.021679882509509595;1.640513580292727;1.0257378730673945;1.0257378730673945
6897655.357113865;0.022151941388990026;1.640512489381187;1.0266458337844284;1.0266458337844284
6896277.551139893;0.02158574269607043;1.640517855246452;1.0275660761574728;1.0275660761574728
6896999.37990688;0.02225875924017657;1.6405164582272511;1.028473908030515;1.028473908030515
6894980.0229420625;0.02157321560148823;1.6405243433614258;1.0293955320410921;1.0293955320410921
6895811.664607471;0.02228311110477209;1.6405230273611018;1.0303032944033526;1.0303032944033526
6893349.409332305;0.021655768412125947;1.6405326590046878;1.031226697368667;1.031226697368667
6894147.29903824;0.022206035172990576;1.6405318601323549;1.0321346131968836;1.0321346131968836
6891471.170304304;0.021832583072555988;1.6405423365361718;1.0330599258766948;1.0330599258766948
6892097.612756274;0.022022848103046593;1.6405424638519912;1.0339683896123915;1.0339683896123915
6889439.837227976;0.022089304720454103;1.6405528554076678;1.0348954567593474;1.0348954567593474
6889786.062747594;0.021744243364281473;1.6405542149666112;1.0358050121308011;1.0358050121308011
6887355.663590656;0.02240084698588294;1.6405636658488196;1.0367334083805928;1.0367334083805928
6887360.861735811;0.021395823545152508;1.6405663964157684;1.0376446981596872;1.0376446981596872
6885321.302545636;0.02273530746188821;1.640574214368754;1.0385737770406032;1.0385737770406032
6884984.701469589;0.021015926482281056;1.6405782449373922;1.0394874708843098;1.0394874708843098
6883438.083712387;0.02305811253276168;1.6405839684002448;1.040416440519601;1.040416440519601
6882822.18519822;0.02065143142808706;1.6405890046972553;1.0413331504393522;1.0413331504393522
6881801.563628785;0.02333587233005669;1.6405924394441127;1.0422611661123795;1.0422611661123795
6881025.9462668905;0.02035132342777055;1.6405979825728259;1.043181361184387;1.043181361184387
6880496.362556987;0.023539752270332018;1.6405992040725745;1.044107622812442;1.044107622812442
6879722.866498462;0.02015842765366782;1.6406045999205205;1.0450315551766827;1.0450315551766827
6879590.750987152;0.023648286042273304;1.640603922160685;1.04595539720709;1.04595539720709
6879002.164964121;0.02010087719202049;1.640608435813919;1.0468830501309914;1.0468830501309914
6879131.8210721165;0.02364950837048211;1.640606351762421;1.0478040125253483;1.0478040125253483
6878907.185416025;0.020185896983988587;1.6406092575629292;1.0487350785097165;1.0487350785097165
6879142.192602473;0.023542215098986706;1.6406063601406446;1.0496529501703469;1.0496529501703469
6879432.303490479;0.020398318449617623;1.6406070356999334;1.0505868431496914;1.0505868431496914
6879618.971579368;0.023336172617796677;1.6406039305861366;1.0515016729943092;1.0515016729943092
6880525.504021258;0.020704488334578053;1.6406019423444658;1.0524375741870626;1.0524375741870626
6880535.148884749;0.02305121666050744;1.640599164793932;1.0533496495507086;1.0533496495507086
6882096.052309997;0.021059951341627473;1.640594333673995;1.0542865820719873;1.0542865820719873
6881842.972484815;0.022715339347171227;1.640592280675896;1.0551963785772296;1.0551963785772296
6884025.651739583;0.02141808387764363;1.640584718869179;1.0561333021399817;1.0561333021399817
6883478.2941052895;0.022361970641005133;1.6405836055567973;1.0570414129985837;1.0570414129985837
6886180.893838636;0.021737293045233325;1.6405737191424934;1.0579773273937887;1.0579773273937887
6885364.702334688;0.0220266596941975;1.6405735647265296;1.0588843827529495;1.0588843827529495
6888424.860138742;0.021985711391834684;1.6405620211527672;1.0598184276415439;1.0598184276415439
6887416.514370989;0.02174328748983223;1.6405626653269778;1.0607250157051737;1.0607250157051737
6890626.377033517;0.022143499372256025;1.6405503292076842;1.0616565546935604;1.0616565546935604
6889540.342044626;0.02153992678550204;1.6405514755824446;1.0625631557955397;1.0625631557955397
6892666.381790406;0.02220344067354343;1.6405393202153757;1.0634918347128832;1.0634918347128832
6891635.746095434;0.02143465349819747;1.6405405994923472;1.0643987773942936;1.0643987773942936
6894441.757396167;0.02217052341422528;1.6405296045012414;1.0653245498675;1.0653245498675
6893596.1340778535;0.0214320008489334;1.6405306473440373;1.0662319946313157;1.0662319946313157
6895867.52763429;0.02206088488192166;1.6405216945434271;1.067155112047578;1.067155112047578
6895311.267189384;0.021521076582294334;1.6405222027999025;1.0680630643194071;1.0680630643194071
6896878.35007338;0.021900109208869388;1.640515982595546;1.0689840315808616;1.0689840315808616
6896672.397460178;0.021676266117739033;1.6405157878562602;1.069892381078808;1.069892381078808
6897429.896243265;0.021720612309941364;1.6405127272242666;1.0708118836736678;1.0708118836736678
6897580.247293813;0.021860793952988396;1.6405118276042274;1.0717204634886228;1.0717204634886228
6897500.201380554;0.021557871089885144;1.6405120481000017;1.0726392748473397;1.0726392748473397
6897955.039985369;0.02203252209315371;1.6405106173394213;1.073547930600409;1.073547930600409
6897090.655657365;0.021445600423213772;1.6405139279783898;1.0744668110728912;1.0744668110728912
6897746.94357231;0.022150731721675608;1.6405122950282542;1.0753754689621338;1.0753754689621338
6896226.154838442;0.021410541741046278;1.6405182206706723;1.0762950687577313;1.0762950687577313
6896944.893062016;0.02218253583109235;1.6405168222953703;1.0772037913599577;1.0772037913599577
6894954.043835776;0.02146801059213596;1.640524663849289;1.0781245692959622;1.0781245692959622
6895581.927268087;0.022107903751366023;1.6405239768275799;1.079033589661007;1.079033589661007
6893341.760463309;0.021619397313836115;1.6405328956794716;1.0799557575957024;1.0799557575957024
6893735.8258220125;0.02192275561422147;1.6405333583354593;1.080865485244279;1.080865485244279
6891473.358697973;0.021852268722891068;1.6405424744244668;1.0817889848342237;1.0817889848342237
6891524.714076403;0.02163996349531466;1.6405444090055705;1.0826999813255789;1.0826999813255789
6889445.236871516;0.022142840764213006;1.6405529002838786;1.0836244956229928;1.0836244956229928
6889098.137962927;0.021288269414412177;1.6405564478436054;1.0845374218224673;1.0845374218224673
6887361.383113954;0.022459908871470067;1.6405636387683862;1.0854624197356586;1.0854624197356586
6886624.704340943;0.020909122880987934;1.6405687166647784;1.0863779611401494;1.0863779611401494
6885328.338392806;0.022769184668026174;1.6405741448984925;1.0873027685138568;1.0873027685138568
6884277.691616673;0.020551399147560084;1.640580433991443;1.0882215483650355;1.0882215483650355
6883449.97634669;0.023037309744063376;1.6405838874699294;1.0891454359887092;1.0891454359887092
6882220.139467434;0.020264135473420906;1.6405908520225518;1.0900679279218097;1.0900679279218097
6881822.201889509;0.023235249050605845;1.6405923725907474;1.0909902046346247;1.0909902046346247
