Time ; Semi-Major Axis ; Eccentricity ; Inclination ; Argument of the perigee ; Right Ascension of the Ascending node
0.0;6878000.0;0.020000000000000018;97.4009688;90.0;3.7688989369630114E-30
8600.0;6877981.270799386;0.019998096180857575;97.40096696862233;89.67204027047624;-175.19958261485144
17200.0;6877962.570263207;0.019996151836937252;97.40096513470725;89.3440801306549;10.40002922417024
25800.0;6877943.899440315;0.01999416710771329;97.40096329809744;89.01611890025566;-165.5867467960329
34400.0;6877925.257797595;0.01999214192757878;97.40096145873352;88.68815588591983;20.795791620993754
43000.0;6877906.6456889175;0.01999007636485783;97.40095961640004;88.36019036236333;-155.94885604349193
51600.0;6877888.062766316;0.019987970342496844;97.40095777115289;88.03222183781433;31.174400047154915
60200.0;6877869.509433029;0.01998582394743459;97.40095592273606;87.704249459372;-146.2753431783349
68800.0;6877850.985420114;0.019983637093844604;97.4009540712651;87.37627285700526;41.52394070572325
77400.0;6877832.490974582;0.019981409877038798;97.4009522164265;87.04829103291803;-136.55620600362204
86000.0;6877814.02574372;0.01997914219795304;97.40095035834;86.72030367247417;51.833917567803525
94600.0;6877795.589888938;0.01997683415409112;97.40094849666926;86.39230966791492;-126.78226328817239
103200.0;6877777.183178815;0.01997448564945481;97.40094663155679;86.0643088138077;62.095614139444194
111800.0;6877758.80597261;0.01997209680319368;97.40094476271753;85.7363000201551;-116.94541603950086
120400.0;6877740.457901145;0.019969667508837708;97.40094289024977;85.40828307630385;72.30235704189366
129000.0;6877722.139446192;0.019967197899422036;97.40094101391875;85.0802569035148;-107.03890967963969
137600.0;6877703.850095872;0.01996468786313187;97.40093913376623;84.75222126398504;82.44967741705601
146200.0;6877685.590424092;0.019962137542806357;97.40093724960879;84.42417509787506;-97.05758977552112
154800.0;6877667.359666261;0.01995954682783916;97.40093536139217;84.09611807248777;92.53537280649496
163400.0;6877649.158536541;0.019956915866722488;97.40093346900436;83.76804918848535;-86.99814124129578
172000.0;6877630.986196577;0.01995424454834368;97.40093157233855;-276.56003192902074;102.55947967909509
180600.0;6877612.843539207;0.01995153302012489;97.40092967136803;83.11187381695152;-76.85929757590657
189200.0;6877594.729622557;0.019948781174305107;97.40092776592277;-277.2162340031692;112.52417079515666
197800.0;6877576.645361423;0.01994598915512457;97.40092585602095;82.45564378489377;-66.64200292603962
206400.0;6877558.589735151;0.019943156862465245;97.4009239414364;-277.8724932962254;122.43359464809623
215000.0;6877540.563803441;0.019940284441490045;97.40092202226374;81.79935393035002;-56.349508115400106
223600.0;6877522.56644548;0.01993737180253804;97.40092009821785;-278.5288150227017;132.29367302966534
232200.0;6877504.5986768855;0.019934419081681826;97.40091816941809;81.1429990669814;-45.98738269778146
240800.0;6877486.659412602;0.01993142620627737;97.40091623555782;-279.1852043159144;142.11187055512292
249400.0;6877468.7496275315;0.019928393295654188;97.40091429677985;80.48657404957986;-35.56342738469087
258000.0;6877450.86825917;0.019925320279342056;97.4009123527946;-279.8416664417642;151.8969484199738
266600.0;6877433.016008614;0.01992220725117601;97.40091040371234;79.83007346882957;-25.087476383080812
275200.0;6877415.192292091;0.019919054194308172;97.4009084492987;-280.4982068242;161.65871017632432
283800.0;6877397.397494832;0.019915861177772005;97.4009064896054;79.1734919800323;-14.57108887626946
292400.0;6877379.631398579;0.019912628218865875;97.40090452447161;-281.1548307617991;171.40774448881845
301000.0;6877361.89402387;0.01990935536130286;97.40090255386606;78.51682429217668;-4.027137235161336
309600.0;6877344.18549114;0.019906042648463556;97.40090057772328;78.18845645193323;-178.84483195815736
318200.0;6877326.505508878;0.019902690108610274;97.40089859591448;77.86006510614283;6.530688854349147
326800.0;6877308.85440935;0.019899297797241387;97.4008966084609;77.53164952578916;-169.08763156557924
335400.0;6877291.231554571;0.019895865734098468;97.4008946151155;77.20320916568303;17.08843342334756
344000.0;6877273.637374932;0.019892393971377584;97.40089261597142;76.87474328420065;-159.30925420619084
352600.0;6877256.071364731;0.0198888825557169;97.40089061076027;76.54625129509905;27.63244525544706
361200.0;6877238.533913825;0.019885331519559665;97.40088859962145;76.2177324511898;-149.49854851941654
369800.0;6877221.0243643;0.0198817409280525;97.40088658221315;75.88918604879719;38.14993125480447
378400.0;6877203.542795461;0.01987811077309777;97.40088455867082;75.5606113160426;-139.6448782743349
387000.0;6877186.089059533;0.01987444118740706;97.40088252868641;75.23200761577047;48.62945625892822
395600.0;6877168.662950078;0.0198707321146865;97.40088049239557;74.90337421670401;-129.73839543177849
404200.0;6877151.26486332;0.019866983746595686;97.40087844955583;74.57471052742835;59.06135928674652
412800.0;6877133.894071327;0.01986319597001542;97.40087640024676;74.24601580369382;-119.77031863776611
421400.0;6877116.551497719;0.019859369040450527;97.40087434429279;73.91728946887012;69.43806829142125
430000.0;6877099.235856123;0.0198555027851868;97.40087228169574;73.58853077055515;-109.73321304590922
438600.0;6877081.948542888;0.01985159752220557;97.40087021234602;73.25973916456796;79.75430373192597
447200.0;6877064.687869114;0.019847653025499262;97.40086813619438;72.93091384430706;-99.62126561454511
455800.0;6877047.4556333255;0.019843669669558424;97.4008660531964;72.6020543052363;90.00717203019936
464400.0;6877030.24967056;0.019839647179653613;97.40086396322066;72.27315974212061;-89.43054532513754
473000.0;6877013.072047669;0.01983558596120485;97.40086186627461;71.9442296908584;100.19615818698429
481600.0;6876995.920474141;0.019831485726914552;97.40085976219821;71.61526328080578;-79.15923415705456
490200.0;6876978.797213431;0.019827346898065572;97.40085765105319;-288.7137399389692;110.32303329119134
